"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"K12251"	"duration"	"Week 6"	"durationWeek 6"	-7.96988918549204	0.667599003690197	7.4880530151024e-33	5.28132379155172e-29	1.49761060302047e-32	6.67035762585319e-29	"prevalence"	68	63
"K06884"	"duration"	"Week 6"	"durationWeek 6"	-7.96984926283244	0.733225021218676	1.60937030036077e-27	2.85267468474059e-24	1.60937030036077e-27	1.80147639952284e-24	"prevalence"	68	5
"K11689"	"duration"	"Week 6"	"durationWeek 6"	-7.9698490775382	0.733242434318394	1.61393430672492e-27	2.85267468474059e-24	1.61393430672492e-27	1.80147639952284e-24	"prevalence"	68	5
"K16079"	"duration"	"Week 6"	"durationWeek 6"	-7.96984905342253	0.733257349501412	1.61785038125087e-27	2.85267468474059e-24	1.61785038125087e-27	1.80147639952284e-24	"prevalence"	68	5
"K17234"	"duration"	"Week 6"	"durationWeek 6"	-8.00396653068271	0.746733492926075	8.32190914000585e-27	1.17388850328922e-23	1.66438182800118e-26	1.48263133238345e-23	"prevalence"	68	63
"K09789"	"duration"	"Week 6"	"durationWeek 6"	8.00395126455363	0.761774491155314	8.0219251173237e-26	9.42977297541401e-23	1.60438502346475e-25	1.19098848241866e-22	"prevalence"	68	63
"K19165"	"duration"	"Week 6"	"durationWeek 6"	-8.03209761750736	0.776815748394317	4.65644719397439e-25	4.6917031513002e-22	9.31289438794879e-25	5.92566165770341e-22	"prevalence"	68	63
"K00194"	"duration"	"Week 6"	"durationWeek 6"	-8.50495151174937	0.828565614243141	1.01669368624217e-24	8.96342571133251e-22	2.03338737248434e-24	1.00630081744947e-21	"prevalence"	68	62
"K21638"	"duration"	"Week 6"	"durationWeek 6"	8.00397841632952	0.784758629207972	1.99733549809978e-24	1.56524525201086e-21	1.99733549809978e-24	1.00630081744947e-21	"prevalence"	68	5
"K17235"	"duration"	"Week 6"	"durationWeek 6"	-8.0313800114852	0.843426781087676	1.69354635973198e-21	1.19445824751897e-18	3.38709271946398e-21	1.50861109724926e-18	"prevalence"	68	63
"K03411"	"duration"	"Week 6"	"durationWeek 6"	-8.17949907380077	1.4887105298131	3.92148530898724e-08	2.51438508038972e-05	7.842970464194e-08	3.17569004068364e-05	"prevalence"	68	56
"K15585"	"duration"	"Week 6"	"durationWeek 6"	-7.42093482164013	1.3925969619927	9.88387295153199e-08	5.36238122516578e-05	1.97677449261545e-07	6.77273353085325e-05	"prevalence"	68	64
"K21573"	"duration"	"Week 6"	"durationWeek 6"	-7.42093482163969	1.39244881884168	9.85307113773532e-08	5.36238122516578e-05	1.97061413046405e-07	6.77273353085325e-05	"prevalence"	68	64
"UNGROUPED"	"duration"	"Week 6"	"durationWeek 6"	8.68721506808952e-05	0.00557068858069266	4.88814686723916e-07	0.000246257856104556	4.88814686723916e-07	0.000155512901047737	"abundance"	68	68
"K02474"	"duration"	"Week 6"	"durationWeek 6"	7.43915236877128	1.49153009305662	6.11346404670333e-07	0.000279402639747231	1.22269243559624e-06	0.000352887838662376	"prevalence"	68	50
"K22024"	"duration"	"Week 6"	"durationWeek 6"	-7.29721592643885	1.46512439616699	6.33835564434382e-07	0.000279402639747231	1.26767072712124e-06	0.000352887838662376	"prevalence"	68	56
"K19117"	"duration"	"Week 6"	"durationWeek 6"	-8.50562108629288	1.72648550585054	8.36932313880447e-07	0.000347228447635223	1.67386392730519e-06	0.000438552348953961	"prevalence"	68	62
"K02422"	"duration"	"Week 6"	"durationWeek 6"	-7.54384143511071	1.6348849951151	3.94432125292535e-06	0.00154551654427125	7.88862694818055e-06	0.00195199691262201	"prevalence"	68	61
"K09251"	"duration"	"Week 6"	"durationWeek 6"	7.11598049507375	1.5819390808783	6.85104123310682e-06	0.00254317862195276	1.37020355294477e-05	0.00321204559200842	"prevalence"	68	59
"K02426"	"duration"	"Week 6"	"durationWeek 6"	7.11592688377744	1.61151676657791	1.00697419786939e-05	0.00355109450878639	2.01393825576842e-05	0.00448504049559627	"prevalence"	68	59
"K07315"	"duration"	"Week 6"	"durationWeek 6"	-0.699446177014621	0.114799398982492	2.99118103583336e-05	0.00958945447533304	5.98227260002683e-05	0.0121113828002361	"abundance"	68	54
"K01046"	"duration"	"Week 6"	"durationWeek 6"	7.12007029202832	1.70469847666052	2.95725874648215e-05	0.00958945447533304	5.91443003917136e-05	0.0121113828002361	"prevalence"	68	51
"K06384"	"duration"	"Week 6"	"durationWeek 6"	-7.11600929235384	1.72892899991742	3.85758161018641e-05	0.0118293578681064	7.71501441101403e-05	0.0149402931246333	"prevalence"	68	59
"K01082"	"duration"	"Week 6"	"durationWeek 6"	-6.68726405422052	1.70987417679102	9.19267597908718e-05	0.0270149765335424	0.000183845069052578	0.0314940745215455	"prevalence"	68	57
"K01740"	"duration"	"Week 6"	"durationWeek 6"	0.291200326790239	0.0860466062721764	0.000100757205660794	0.0284256228610233	0.000100757205660794	0.0186988580838824	"abundance"	68	68
"K01874"	"duration"	"Week 6"	"durationWeek 6"	0.104584044469197	0.0443865527668057	0.000152596979717917	0.0413948653057873	0.000152596979717917	0.0271866779065441	"abundance"	68	68
"K14058"	"duration"	"Week 6"	"durationWeek 6"	8.95692521894147	2.39070199762043	0.000179271135477017	0.0468296043896074	0.000358510132814018	0.0532268043851212	"prevalence"	68	14
"K19222"	"duration"	"Week 6"	"durationWeek 6"	8.34897763638681	2.23406953705744	0.000186142853891791	0.0468880553035286	0.000372251058621527	0.0534840714548478	"prevalence"	68	13
"K02874"	"duration"	"Week 6"	"durationWeek 6"	0.0676020491346575	0.0360660018784654	0.000198215674952339	0.0482074191530638	0.000198215674952339	0.0326982450458415	"abundance"	68	68
"K06956"	"duration"	"Week 6"	"durationWeek 6"	-7.42108881747095	2.02725947535082	0.000251575533780855	0.0591454079918789	0.000503087777312512	0.0659044988279391	"prevalence"	68	64
"K02986"	"duration"	"Week 6"	"durationWeek 6"	0.0458099798347408	0.0313212152285148	0.000263596753105992	0.0599725128921471	0.000263596753105992	0.0419307120833603	"abundance"	68	68
"K02878"	"duration"	"Week 6"	"durationWeek 6"	0.0506776384318671	0.0334986547124859	0.000344480041939259	0.0759255542436748	0.000344480041939259	0.0529073829930159	"abundance"	68	68
"K03089"	"duration"	"Week 6"	"durationWeek 6"	8.17904231211922	2.30341550686333	0.000384014937900245	0.0820744653639524	0.00076788240832796	0.095004117963687	"prevalence"	68	12
"K09692"	"duration"	"Week 6"	"durationWeek 6"	-6.77419894523093	1.91554584106112	0.000405569825152808	0.0841318816706693	0.000810975163422542	0.097623875077946	"prevalence"	68	62
"K02884"	"duration"	"Week 6"	"durationWeek 6"	0.10101249243807	0.0481579456683512	0.000448978930169308	0.0904756684138322	0.000448978930169308	0.0624922548429405	"abundance"	68	68
"K09457"	"duration"	"Week 6"	"durationWeek 6"	0.249551516719933	0.088067676276069	0.000499159534944776	0.097793672221264	0.000499159534944776	0.0659044988279391	"abundance"	68	68
