"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I"	"diet"	"time"	"diet:time"	0.0230770588441422	0.0171644083144247	2.93292332531614e-06	0.00472226725805457	2.93292332531614e-06	0.00313720143492441	"abundance"	140	140
"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.721853463917262	0.154229038639418	3.19829079731271e-06	0.00503758611801076	6.3965713655614e-06	0.00582305749887042	"abundance"	140	111
"PWY.6700..queuosine.biosynthesis.I..de.novo."	"diet"	"time"	"diet:time"	-0.00290355322915179	0.0117608421422123	3.88729876177329e-06	0.00599256052096856	3.88729876177329e-06	0.00396004678145791	"abundance"	140	140
"P161.PWY..acetylene.degradation..anaerobic..g__Flavonifractor.s__Flavonifractor_plautii"	"time"	"time"	"time"	1.0171049895553	0.128231980234323	5.52712410772926e-06	0.0083429635437795	1.10542176663576e-05	0.00892388220892033	"abundance"	140	15
"PWY.6123..inosine.5..phosphate.biosynthesis.I.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.420198663353444	0.096303640768697	5.80764579138915e-06	0.00858749322794509	1.16152578540287e-05	0.00920315597300871	"abundance"	140	128
"PWY.3841..folate.transformations.II..plants."	"time"	"time"	"time"	0.0307228409765454	0.0113723272302164	6.73037292275858e-06	0.00964443004564419	6.73037292275858e-06	0.00592775142358573	"abundance"	140	140
"PWY.7977..L.methionine.biosynthesis.IV.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.788682576339628	0.174293951400722	6.78866497816344e-06	0.00964443004564419	6.78866497816344e-06	0.00592775142358573	"abundance"	140	111
"PWY.1042..glycolysis.IV"	"diet"	"time"	"diet:time"	-0.00350645032162995	0.0120485488857388	7.19502993229426e-06	0.0100251672829702	7.19502993229426e-06	0.00615693101366285	"abundance"	140	140
"COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic."	"diet"	"time"	"diet:time"	0.0030766127473905	0.013573127924231	7.81798493754149e-06	0.0106876279370685	7.81798493754149e-06	0.0065588294811304	"abundance"	140	140
"PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.411167055759222	0.0963331283443583	8.5905299405109e-06	0.0115262640057366	1.71809860838172e-05	0.0128965907119684	"abundance"	140	128
"PYRIDNUCSYN.PWY..NAD.de.novo.biosynthesis.I..from.aspartate."	"diet"	"time"	"diet:time"	8.53078162428682e-05	0.0130074619009795	9.35636849042076e-06	0.0123255695019081	9.35636849042076e-06	0.00769849196598351	"abundance"	140	140
"PWY.6700..queuosine.biosynthesis.I..de.novo..g__Clostridium.s__Clostridium_sp_CAG_798"	"time"	"time"	"time"	1.6111120025759	0.256729921366298	1.22780063070982e-05	0.0158855476602588	2.45558618647575e-05	0.0172237230450084	"abundance"	140	18
"PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic."	"diet"	"time"	"diet:time"	0.000120632210381772	0.0133215755480033	1.28106455911103e-05	0.0161893967371496	1.28106455911103e-05	0.00996575058656812	"abundance"	140	140
"PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.851822838159711	0.195337097003286	1.29597401213829e-05	0.0161893967371496	2.59193122879018e-05	0.0174970374607862	"prevalence"	140	87
"PWY.6123..inosine.5..phosphate.biosynthesis.I"	"diet"	"time"	"diet:time"	0.00199551024461024	0.013750022823715	1.38752885372462e-05	0.0170393246725023	1.38752885372462e-05	0.0106012159884753	"abundance"	140	140
"UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I"	"diet"	"time"	"diet:time"	0.115629033822125	0.0400835994501337	1.85566320345387e-05	0.0224083702905078	1.85566320345387e-05	0.0136890354867202	"abundance"	140	140
"PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Alistipes.s__Alistipes_finegoldii"	"diet"	"diet"	"diet"	1.39403050678219	0.281104652792863	2.15716417242273e-05	0.0256221594997896	2.15716417242273e-05	0.0156434620815727	"abundance"	140	43
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I"	"diet"	"time"	"diet:time"	0.00437010699774271	0.0147193648344319	2.21479102187061e-05	0.0258823336610666	2.21479102187061e-05	0.0157936747769593	"abundance"	140	140
"ARO.PWY..chorismate.biosynthesis.I"	"diet"	"time"	"diet:time"	0.00768827097462862	0.0156670762868479	2.58645190662765e-05	0.029629559953812	2.58645190662765e-05	0.0174970374607862	"abundance"	140	140
"PWY.7977..L.methionine.biosynthesis.IV"	"diet"	"time"	"diet:time"	-0.000371765408782359	0.0137432355938449	2.61723553847126e-05	0.029629559953812	2.61723553847126e-05	0.0174970374607862	"abundance"	140	140
"GLUCARDEG.PWY..D.glucarate.degradation.I"	"diet"	"diet"	"diet"	-0.510191863805645	0.124954076976815	2.70024005493141e-05	0.0300989527600001	5.40040719689928e-05	0.0316523044282922	"abundance"	140	119
"PYRIDNUCSYN.PWY..NAD.de.novo.biosynthesis.I..from.aspartate."	"diet"	"diet"	"diet"	-0.024423486299847	0.0129609223462644	2.75217873788591e-05	0.0302130845870888	2.75217873788591e-05	0.0181161106891056	"abundance"	140	140
"COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals."	"diet"	"time"	"diet:time"	-0.00072564720889305	0.0137437659556728	2.88213476533627e-05	0.0311674913862201	2.88213476533627e-05	0.0186840936469209	"abundance"	140	140
"COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis"	"diet"	"diet"	"diet"	-0.0647329256994245	0.0228277282663561	3.03779079793287e-05	0.0323676609519747	3.03779079793287e-05	0.019399241355277	"abundance"	140	140
