EC,EnzymeName
1.1.99.31,(S)-mandelate dehydrogenase
1.1.99.33,formate dehydrogenase (hydrogenase)
1.1.99.38,2-deoxy-scyllo-inosamine dehydrogenase (SAM-dependent)
1.10.2.2,1.10.2.2
1.10.3.10,ubiquinol oxidase (H+-transporting)
1.10.3.14,"ubiquinol oxidase (electrogenic, proton-motive force generating)"
1.10.3.9,photosystem II P680 reaction center D1 protein
1.10.9.1,plastoquinol—plastocyanin reductase
1.11.1.1,NADH peroxidase
1.11.1.10,non-heme chloroperoxidase
1.11.1.15,thioredoxin-dependent peroxiredoxin
1.11.1.18,bromide peroxidase
1.11.1.21,catalase-peroxidase
1.11.1.22,hydroperoxy fatty acid reductase
1.11.1.5,cytochrome c peroxidase
1.11.1.6,catalase
1.11.1.7,peroxidase
1.11.1.9,glutathione peroxidase
1.11.2.3,peroxygenase
1.12.1.2,NAD-reducing hydrogenase large subunit
1.12.1.3,NADP-reducing hydrogenase subunit HndB
1.12.2.1,[NiFe] hydrogenase large subunit
1.12.5.1,quinone-reactive Ni/Fe-hydrogenase large subunit
1.12.7.2,ferredoxin hydrogenase
1.12.98.1,coenzyme F420 hydrogenase subunit alpha
1.12.98.2,"5,10-methenyltetrahydromethanopterin hydrogenase"
1.12.98.3,"methanophenazine hydrogenase, large subunit"
1.12.99.6,hydrogenase large subunit
1.13.11.1,"catechol 1,2-dioxygenase"
1.13.11.15,"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
1.13.11.16,"2,3-dihydroxyphenylpropionate 1,2-dioxygenase"
1.13.11.2,"catechol 2,3-dioxygenase"
1.13.11.24,"quercetin 2,3-dioxygenase"
1.13.11.27,4-hydroxyphenylpyruvate dioxygenase
1.13.11.29,stizolobate synthase
1.13.11.3,"protocatechuate 3,4-dioxygenase, alpha subunit"
1.13.11.39,"biphenyl-2,3-diol 1,2-dioxygenase"
1.13.11.4,"gentisate 1,2-dioxygenase"
1.13.11.5,"homogentisate 1,2-dioxygenase"
1.13.11.53,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
1.13.11.54,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
1.13.11.6,"3-hydroxyanthranilate 3,4-dioxygenase"
1.13.11.63,"beta-carotene 15,15'-dioxygenase"
1.13.11.74,"2-aminophenol/2-amino-5-chlorophenol 1,6-dioxygenase subunit beta"
1.13.11.76,"2-aminophenol/2-amino-5-chlorophenol 1,6-dioxygenase subunit beta"
1.13.11.8,"protocatechuate 4,5-dioxygenase, alpha chain"
1.13.12.16,nitronate monooxygenase
1.13.12.19,2-oxoglutarate dioxygenase / 2-oxoglutarate/L-arginine monooxygenase/decarboxylase
1.13.12.4,lactate 2-monooxygenase
1.14.11.17,taurine dioxygenase
1.14.11.33,DNA oxidative demethylase
1.14.11.47,50S ribosomal protein L16 3-hydroxylase
1.14.12.1,"anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit"
1.14.12.10,"benzoate/toluate 1,2-dioxygenase subunit alpha"
1.14.12.13,"2-halobenzoate 1,2-dioxygenase large subunit"
1.14.12.17,nitric oxide dioxygenase
1.14.12.18,"biphenyl 2,3-dioxygenase subunit alpha"
1.14.12.19,3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha
1.14.12.21,"benzoyl-CoA 2,3-epoxidase"
1.14.12.3,benzene/toluene/chlorobenzene dioxygenase subunit alpha
1.14.12.7,"phthalate 4,5-dioxygenase"
1.14.13.1,salicylate hydroxylase
1.14.13.107,"limonene 1,2-monooxygenase"
1.14.13.113,FAD-dependent urate hydroxylase
1.14.13.127,3-(3-hydroxy-phenyl)propionate hydroxylase
1.14.13.149,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA"
1.14.13.2,p-hydroxybenzoate 3-monooxygenase
1.14.13.239,carnitine monooxygenase subunit
