feature	Bifidobacterium_adolescentis	Bifidobacterium_angulatum	Bifidobacterium_animalis	Bifidobacterium_bifidum	Bifidobacterium_catenulatum	Bifidobacterium_dentium	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bifidobacterium_pullorum
AK2351	0.248503907194918	NA	NA	NA	NA	NA	0.751496092805082	NA	NA
AM2314	NA	NA	1	NA	NA	NA	NA	NA	NA
AN2355	NA	NA	NA	NA	NA	NA	NA	NA	NA
AS2315	0.0135585031623331	NA	0.0132290934645116	0.00453560552822675	NA	NA	0.968676797844929	NA	NA
EK2349	NA	NA	1	NA	NA	NA	NA	NA	NA
ET2331	0.568109655047558	NA	0.15795813778601	NA	NA	NA	0.273932207166432	NA	NA
HL2333	0.708247521139798	NA	0.126106579356586	NA	NA	NA	0.13641628688904	0.0292296126145761	NA
HN2327	0.891903887554945	NA	0.0212863214391187	NA	0.0035233240456594	NA	0.083286466960277	NA	NA
HT2321	NA	NA	0.00356115240364637	NA	NA	NA	0.996438847596354	NA	NA
IM2354	0.992408070729731	NA	0.000999708592613869	NA	NA	NA	0.00659222067765463	NA	NA
JA2369	0.892993583795518	NA	NA	NA	NA	NA	0.107006416204482	NA	NA
JK2312	NA	NA	NA	NA	NA	NA	0.123652226786484	0.876347773213516	NA
KK2350	NA	NA	NA	NA	NA	NA	1	NA	NA
KM2329	0.113976989270605	NA	0.599919816483209	0.213451431582929	NA	NA	0.0726517626632567	NA	NA
LT2311	NA	NA	NA	NA	NA	NA	NA	1	NA
MK2305	0.512118654286748	NA	NA	NA	NA	NA	0.487881345713252	NA	NA
MO2363	0.709528051001531	NA	NA	NA	NA	NA	0.286373725479573	0.00409822351889533	NA
MR2322	NA	NA	0.894112524631161	NA	NA	0.0517240416873671	0.0541634336814723	NA	NA
MS2370	0.316612884201867	NA	0.48583711625178	NA	NA	NA	0.196468805666363	0.00108119387998899	NA
NK2335	0.659306096583602	NA	NA	NA	NA	NA	0.340693903416398	NA	NA
PH2339	0.353508140372065	NA	0.299533176951483	NA	NA	NA	0.346958682676452	NA	NA
PH2359	0.440254470060782	0.047945278304478	0.208817848345767	NA	NA	NA	0.302982403288972	NA	NA
PK2313	0.620650120468733	NA	0.0296551582521082	NA	NA	NA	0.349694721279159	NA	NA
PT2325	0.422231592262689	NA	NA	0.0650872292204712	NA	NA	0.490947662467717	0.0217335160491224	NA
RK2372	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS2366	0.138977025677184	NA	NA	NA	NA	NA	0.736265350490628	0.124757623832188	NA
SH2365	0.343751505400172	NA	NA	NA	NA	NA	0.641375943785548	0.014872550814281	NA
SK2377	0.553399208885602	NA	NA	NA	NA	NA	0.446600791114398	NA	NA
SN2320	0.804449882418279	NA	0.0397434896172303	NA	NA	0.000633466100885985	0.155173161863605	NA	NA
SS2323	0.175379354842936	NA	0.261636114122514	NA	NA	NA	0.56298453103455	NA	NA
SV2318	0.0949747733340815	NA	0.835220072851057	NA	NA	NA	0.069805153814861	NA	NA
TS2358	NA	NA	0.00476758045292014	NA	NA	NA	NA	0.99523241954708	NA
VK2336	NA	NA	NA	NA	NA	NA	NA	NA	NA
