"taxon","lfc_diet2","lfc_diet2:visit2","se_diet2","se_diet2:visit2","W_diet2","W_diet2:visit2","p_diet2","p_diet2:visit2","q_diet2","q_diet2:visit2","diff_diet2","diff_diet2:visit2","passed_ss_diet2","passed_ss_diet2:visit2"
"Candidatus_Avispirillum_faecium",-0.686896812266599,0.168065590856183,1.15541445114586,1.25893896486854,-0.594502528149429,0.133497806920078,0.55836003517041,0.89627373426572,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Candidatus_Borkfalkia_ceftriaxoniphila",0.395919256677975,-1.92074075343542,0.985797516737227,0.924923011182048,0.401623304944388,-2.07664933212195,0.692649416330831,0.0865167563943812,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Candidatus_Cibionibacter_quicibialis",0.40872226694197,-0.829269778140505,0.414475597929291,0.38062348858295,0.986119011550825,-2.17871414406886,0.326720269098513,0.0333455795178364,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,FALSE
"Candidatus_Gastranaerophilales_bacterium",-0.347806875794606,-0.186243988024406,0.737391574691485,0.921618602512269,-0.471671887409514,-0.202083581556099,0.639827385899801,0.841720540131155,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Candidatus_Geddesella_stercoravicola",-0.221902311671135,0.290428805514193,0.684274471757852,0.743740993382644,-0.324288455626707,0.390497240434846,0.747703582262932,0.701381463115168,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Candidatus_Heteroscilispira_lomanii",-0.749391600265843,1.3204811114837,0.798008887312297,1.53911231067481,-0.9390767598965,0.857949808032365,0.357378850152516,0.39948136123929,0.999738393308721,0.972454017407108,FALSE,FALSE,FALSE,TRUE
"Candidatus_Metalachnospira_gallinarum",-0.0365604347623536,-0.84662891312127,0.920404716940725,0.559722316916262,-0.0397221288520495,-1.51258738044553,0.969174826174404,0.172656789779463,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Candidatus_Metaruminococcus_caecorum",0.122139667440753,0.0796949128487394,0.588725920204785,0.828730542320931,0.207464395993075,0.0961650485639723,0.836295910605613,0.923950749197726,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Candidatus_Metaruminococcus_gallistercoris",0.997350878622695,-1.10790005669698,1.21192020779842,1.443785658414,0.822950943638848,-0.767357710086976,0.423886578932211,0.467286210164968,0.999738393308721,0.972454017407108,FALSE,FALSE,FALSE,TRUE
"Candidatus_Neoclostridium_roslinense",-0.979810301079809,1.00951448625108,0.837783172543134,1.03948493111382,-1.16952731111266,0.971167985253404,0.253795133003434,0.354898570177804,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Candidatus_Neoruminococcus_faecicola",0.25252484328097,-1.18709549950305,0.660409503235861,0.558024399622021,0.382376150015489,-2.12731826835374,0.705186864638079,0.0503921033317177,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Candidatus_Parachristensenella_avicola",-0.271773140176335,0.403916984369448,1.04582627259928,0.979987424302649,-0.259864517938409,0.412165477181375,0.797495222243121,0.688953280333944,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Candidatus_Pararuminococcus_gallinarum",-0.432144339855178,1.24984695382243,0.472757955042463,0.504229175968296,-0.914092159097277,2.47872795425272,0.363064009988469,0.0169039816261362,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,FALSE
"Candidatus_Pseudobutyricicoccus_lothianensis",0.194056099590143,0.0499133193756219,0.459452382372815,0.522614438992259,0.422363898926701,0.0955069658463095,0.674010116850708,0.924433575253808,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Candidatus_Pseudolachnospira_avium",1.01126907779235,-0.358051888939375,0.850347540451835,0.682950957278433,1.18924208007352,-0.524271743268675,0.244065879444342,0.607789783118242,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Candidatus_Pseudoruminococcus_merdavium",1.00577003831422,-0.170584955329449,0.627057702146974,0.734323835158174,1.60395133473454,-0.232302081400782,0.116051337279743,0.818192081108606,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Candidatus_Pseudoscilispira_faecavium",0.409292334823668,0.987469618667776,0.787464027830233,0.734927977761924,0.519760040279461,1.34362774114944,0.611969931899033,0.217852700719406,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Candidatus_Schneewindia_gallinarum",0.706051708666398,0.0329561927573691,0.508588838422316,0.512318111255353,1.38825639755805,0.064327596532973,0.170240170119591,0.949150992736825,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Candidatus_Woodwardibium_gallinarum",0.0480421768638313,0.0590155045854075,0.751089840639266,0.965143182099812,0.0639632894287875,0.0611468906168,0.949644607407737,0.952186951002979,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Candidatus_Woodwardibium_SGB14954",0.4826972521077,0.399573876784809,0.580820257089106,0.530094780909512,0.831061324422174,0.753778175478805,0.414410095877484,0.463284667392908,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Catenibacillus_scindens",0.605833233692001,-0.31718626122924,0.579093365205303,0.617693679130879,1.04617540122777,-0.513500901734229,0.299464910050413,0.610922734279828,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Catenibacterium_SGB4425",-1.08129204746875,-2.2506930715328,1.23011510072561,1.7987649474244,-0.879016969087631,-1.25124356840259,0.393255984140131,0.230009250994005,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Christensenella_hongkongensis",-0.955158112915525,1.26309342221625,0.754057410088407,0.698729652810015,-1.26669150138521,1.80769975502912,0.223853280258621,0.114634704987303,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Christensenella_minuta",0.190096105395404,-0.479540159285796,0.801707900585668,1.00647120487723,0.237113922984336,-0.476456909012406,0.814491653019096,0.641892178536409,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Christensenellaceae_bacterium_NSJ_44",0.812581593413157,-0.411453133136588,0.791138018620123,1.03583455550285,1.02710472040066,-0.397218967981664,0.310907414341122,0.694802784448143,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Christensenellaceae_bacterium_NSJ_63",0.219882487933476,0.101009480229348,0.476408962370566,0.491572170489151,0.46154145975626,0.205482503472147,0.645479444742321,0.838064050056642,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Citrobacter_SGB6486",-0.550282271158768,2.03892326453479,1.03875963194411,1.38870026145031,-0.529749380161103,1.46822415256509,0.605215419493683,0.165819944426851,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Clostridia_bacterium",-2.03877652032878,0.736810070558972,1.10906304248791,0.516276068097732,-1.83828731300548,1.42716293876224,0.0817923065813215,0.180940317413557,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Clostridia_bacterium_UC5_1_1D1",-0.131239452520466,0.439413327944712,0.43843445488811,0.436902397979744,-0.299336539492452,1.00574711875371,0.765357861277889,0.31921508802545,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Clostridiaceae_bacterium",-0.38939546681081,0.782310212245075,0.409939079000434,0.364681249218466,-0.949886182503712,2.14518902170488,0.344540975317261,0.0356398447521111,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,FALSE
