clade_name	ML1375	AT2302	JE2361	MV1301	JS1364	JA1369	JL1316	JH2373	EH1307	AM2314	AK2371	HP2337	AN2355	KK1350	ML2319	JV1357	HT2321	MS1370	JP1303	ET1331	KK2350	KL1367	JA2369	JH1373	MK2305	AK1304	AK1371	JV2357	LT2311	EH2307	AK2351	AP1348	LK1306	JS2364	AK1351	AT1302	JP2303	TS2358	JK1312	JE1361	AE2332	NK1335	PK2324	KK1376	MO2363	PK2313	MM1317	TS1358	MV2301	SH2365	VK1336	SK2377	TL2338	JL2316	AN1355	MS1330	AH1343	KL2367	PK1313	PP2368	SK1377	TJ2356	RK2372	HT1321	MK1353	HK2340	AE1332	AM2310	AP2348	EK1349	AS2315	EP1341	EP2341	HN1327	IM2354	KK2376	LK2306	AM1310	SS1323	HP1337	IM1354	KH1326	KM2329	ET2331	KH2326	LT1311	ML1319	HL1333	RS1345	KM1329	AS1315	AH2343	HK1340	AM1314	EK2349	HL2333	JM2360	JM1360	JK2312	MM2328	RS2366	TL1338	TK1342	PH1308	VK2336	TK2342	MM1328	SV1318	PK1324	MK1305	PH2359	SN2320	TJ1356	MR1334	MR2322	SO2346	SO1346	PH2339	MR1322	PH2308	RS2345	PP1368	SV2318	MO1363	SS2323	PH1339	MM2317	SN1320	RA2309	RA1309	MS2370	NK2335	MS2330	RK1372	ML2375	PH1359	SH1365	HN2327	MK2353	RS1366	PT1325	PT2325	MR2334
k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626|f__FGB31626|g__GGB79700|s__GGB79700_SGB6477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2942|o__OFGB2942|f__FGB2942|g__GGB9288|s__GGB9288_SGB14243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11275	0	0	0.17974	0	0	0	0	0.06338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05053	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_SGB15451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02035	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_SGB2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37162	0	0	0	0.15229	3.84176	0	0.61356	0	0	0	0.11912	0	3.33743	0.31258	0.40998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42989	0	0	0	0	0	0	0	0.72898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.40009	9.75233	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3345|s__GGB3345_SGB9340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00712	0	0	0	0	0	0	0	0	0	0	0	0	0.59507	0	0	0	0	0	0	0.03728	0	0	0	0.0024	0	0	0	0	0.08636	0	0.00108	0	0	0	0	0	0.00744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00165	0	0	0	0	0	0	0	0	0	0	0.07852	0	0	0	0	0	0	0	0.00293	0	0.00939	0	0	0	0	0	0	0	0	0	0.00192	0.02709	0	0	0	0	0	0	0	0.00701
k__Bacteria|p__Firmicutes|c__CFGB4559|o__OFGB4559|f__FGB4559|g__GGB2983|s__GGB2983_SGB3965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07964	0	0	0	0	0	0	0	0	0	0	0.0393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14918	0	0	0	0	0	0	0	0	0	0	0	0.01542	0	0	0.05095	0	0.00929	0	0	0	0	0	0	0	0.04618	0	0	0	0	0	0	0	0.03967	0	0	0.06509	0	0	0	0	0	0.06096	0	0	0	0	0	0.03772	0	0	0	0	0	0.01453	0	0.03951	0	0.0493	0	0	0	0	0	0	0	0	0	0	0	0	0.00133	0.03292	0
k__Bacteria|p__Firmicutes|c__CFGB1778|o__OFGB1778|f__FGB1778|g__GGB4715|s__GGB4715_SGB6529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2429|o__OFGB2429|f__FGB2429|g__GGB77437|s__GGB77437_SGB9391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0733	0	0	0	0.0041	0	0	0	0	0	0.05716	0	0	0.04691	0	0	0	0	0	0	0	0	0.00643	0	0	0	0	0	0.0038	0	0	0	0	0	0	0	0	0	0.00845	0	0	0	0	0	0	0	0	0	0	0	0	0.05108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03851	0	0	0	0	0	0.04196	0	0	0	0.02745	0.02788	0	0	0	0.00734	0.0119	0	0	0.01027	0	0	0.00395	0.02349	0.04296	0	0	0	0	0	0	0	0	0.00194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00315	0	0.03142	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9618|s__GGB9618_SGB15064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14893	0	0	0	0	0	0	0.00217	0	0.07528	0	0	0	0	0	0	0	0	0.04256	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00801	0	0	0	0	0	0.00041	0	0	0	0	0	0.04168	0.00732	0	0	0	0	0	0	0	0.00373	0	0	0	0	0	0	0	0	0	0	0	0	0.0204	0	0	0	0	0.04289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.00087	0	0	0	0	0	0.00493
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_provencensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02965	0	0	0	0	0	0	0	0.07178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1360|o__OFGB1360|f__FGB1360|g__GGB3325|s__GGB3325_SGB4402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05121	0	0	0	0	0	0	0	0	0	0	0	0	0.05592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00555	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_porci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB73283|o__OFGB73283|f__FGB73283|g__GGB79653|s__GGB79653_SGB4228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2950|o__OFGB2950|f__FGB2950|g__GGB9291|s__GGB9291_SGB14248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00466	0	0	0	0	0	0	0	0	0	0.00563	0	0	0.00633	0	0	0	0	0.00122	0	0	0	0	0	9.00E-05	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0099	0	0	0	0	0	0	0	0	0.04682	0	0	0	0	0	0	0	0	0	0.02986	0.0394	0	0	0	0	0	0	0.01123	0.00267	0	0	0	0	0.01413	0	0	0.00345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04058	0.00206	0	0.0127	0	0	0	0	0.363	0.10179	0.00126
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_NSJ_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.01282	0.67004	0	0.0087	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0.27508	0	0	0	0.04889	0	0	0	0	0	0	0	0.01844	0	0	0	0	0.03697	0	0.00503	0	0	0	0	0	0	0	0	0.00279	0	0	0.45635	0	0.02811	0	0	0	0	0	0	0	0	0	0	0.11838	0	0	0	0	0	0	0	0	0	0.02431	0.06467	0	0	0	0	0.02824	0	0	0.0079	0	0	0	0.02882	0	0	0	0	0	0	0.00382	0.08944	0	0	0.00927	0.03986	0	0	0	0	0	0.03097	0	0	0	0	0.04284	0.01751	0	0.03189	0.0017	0.0171	0	0	0	0	0	0	0	0.00196	0.02817	0	0	0	0	0	0
