OriginalEC,CurrentEC,EnzymeName,Status
3.1.3.31,NA,nucleotidase. The activity may be that of an acid phosphatase.,Deleted in 1972
3.1.3.81,3.6.1.75,diacylglycerol diphosphate phosphatase,Transferred in 2010
3.2.1.103,3.2.1.103,"keratan-sulfate endo-1,4-beta-galactosidase",Current
3.2.1.129,3.2.1.129,endo-alpha-sialidase,Current
3.2.1.131,3.2.1.131,"xylan alpha-1,2-glucuronosidase",Current
3.2.1.145,3.2.1.145,"galactan 1,3-beta-galactosidase",Current
3.2.1.72,3.2.1.72,"xylan 1,3-beta-xylosidase",Current
3.2.1.74,3.2.1.74,"glucan 1,4-beta-glucosidase",Current
3.2.1.98,3.2.1.98,"glucan 1,4-alpha-maltohexaosidase",Current
3.2.2.15,3.2.2.15,DNA-deoxyinosine glycosylase,Current
3.3.1.1,3.3.1.1,Transferred to 3.13.2.1,Current
3.4.13.3,NA,"Xaa-His dipeptidase. The activity is covered by EC 3.4.13.18, cytosol nonspecific dipeptidase and EC 3.4.13.20, beta-Ala-His dipeptidase.",Deleted in 1961
3.4.24.57,3.4.24.57,O-sialoglycoprotein endopeptidase,Current
3.5.3.19,3.5.1.116,ureidoglycolate amidohydrolase,Transferred in 1992
3.5.4.11,3.5.4.11,pterin deaminase,Current
3.5.4.23,3.5.4.23,blasticidin-S deaminase,Current
3.5.4.41,3.5.4.41,5'-deoxyadenosine deaminase,Current
3.5.99.3,3.5.4.43,hydroxydechloroatrazine ethylaminohydrolase,Transferred in 2000
3.5.99.4,3.5.4.42,N-isopropylammelide isopropylaminohydrolase,Transferred in 2000
3.6.1.19,3.6.1.9,nucleotide diphosphatase,Transferred in 1972
3.6.1.3,NA,adenosinetriphosphatase. Enzymes previously listed under this number are now listed separately under EC 5.6 and EC 7.,Deleted in 1961
3.6.1.34,3.6.3.14,H+-transporting two-sector ATPase,Transferred in 1984
3.6.1.8,3.6.1.8,ATP diphosphatase,Current
3.6.3.1,7.6.2.1,P-type phospholipid transporter,Transferred in 2000
3.6.3.10,7.2.2.19,H+/K+-exchanging ATPase,Transferred in 1984
3.6.3.12,7.2.2.6,K+-transporting ATPase,Transferred in 2000
3.6.3.14,7.1.2.2,H+-transporting two-sector ATPase,Transferred in 1984
3.6.3.15,7.2.2.1,Na+-transporting two-sector ATPase,Transferred in 2000
3.6.3.16,7.3.2.7,arsenite-transporting ATPase,Transferred in 2000
3.6.3.17,3.6.3.17,Transferred to,Current
3.6.3.18,7.5.2.2,ABC-type oligosaccharide transporter,Transferred in 2000
3.6.3.19,7.5.2.1,ABC-type maltose transporter,Transferred in 2000
3.6.3.2,7.2.2.14,P-type Mg2+ transporter,Transferred in 2000
3.6.3.20,7.6.2.10,glycerol-3-phosphate-transporting ATPase,Transferred in 2000
3.6.3.21,7.4.2.1,ABC-type polar-amino-acid transporter,Transferred in 2000
3.6.3.23,7.4.2.6,oligopeptide-transporting ATPase,Transferred in 2000
3.6.3.24,7.2.2.11,nickel-transporting ATPase,Transferred in 2000
3.6.3.25,7.3.2.3,sulfate-transporting ATPase,Transferred in 2000
3.6.3.27,7.3.2.1,ABC-type phosphate transporter,Transferred in 2000
3.6.3.28,7.3.2.2,ABC-type phosphonate transporter,Transferred in 2000
3.6.3.29,7.3.2.5,molybdate-transporting ATPase,Transferred in 2000
3.6.3.3,7.2.2.21,Cd2+-exporting ATPase,Transferred in 2000
3.6.3.30,7.2.2.7,Fe3+-transporting ATPase,Transferred in 2000
3.6.3.31,7.6.2.11,polyamine-transporting ATPase,Transferred in 2000
3.6.3.32,7.6.2.9,quaternary-amine-transporting ATPase,Transferred in 2000
3.6.3.33,7.6.2.8,vitamin B12-transporting ATPase,Transferred in 2000
3.6.3.34,3.6.3.34,Transferred to 7.2.2.16 and 7.2.2.17 and 7.2.2.18,Current
3.6.3.36,7.6.2.7,taurine-transporting ATPase,Transferred in 2000
3.6.3.4,7.2.2.9,Cu2+-exporting ATPase,Transferred in 2000
3.6.3.40,7.5.2.4,teichoic-acid-transporting ATPase,Transferred in 2000
3.6.3.41,7.6.2.5,heme-transporting ATPase,Transferred in 2000
3.6.3.42,7.5.2.3,beta-glucan-transporting ATPase,Transferred in 2000
3.6.3.43,7.4.2.5,peptide-transporting ATPase,Transferred in 2000
3.6.3.44,7.6.2.2,ABC-type xenobiotic transporter,Transferred in 2000
3.6.3.5,7.2.2.12,Zn2+-exporting ATPase,Transferred in 2000
3.6.3.53,7.2.2.15,Ag+-exporting ATPase,Transferred in 2000
3.6.3.54,7.2.2.8,Cu+-exporting ATPase,Transferred in 2013
3.6.3.6,7.1.2.1,P-type H+-exporting transporter,Transferred in 1984
3.6.3.8,7.2.2.10,Ca2+-transporting ATPase,Transferred in 1984
3.6.4.12,5.6.2.3,"DNA 5'-3' helicase and EC 5.6.2.4, DNA 3'-5' helicase",Transferred in 2009
3.6.4.13,NA,NA,Deleted in 2009
3.6.5.3,3.6.5.3,protein-synthesizing GTPase,Current
4.1.1.3,4.1.1.3,Transferred to 7.2.4.2 and 4.1.1.112,Current
4.1.1.41,7.2.4.3,(S)-methylmalonyl-CoA decarboxylase,Transferred in 1972
4.1.1.63,4.1.1.63,protocatechuate decarboxylase,Current
4.1.1.70,7.2.4.5,glutaconyl-CoA decarboxylase,Transferred in 1986
4.1.2.2,4.1.2.2,ketotetrose-phosphate aldolase,Current
4.1.2.5,4.1.2.5,L-threonine aldolase,Current
4.1.3.18,2.2.1.6,acetolactate synthase,Transferred in 1972
4.1.3.6,4.1.3.6,citrate (pro-3S)-lyase,Current
4.1.99.18,4.1.99.18,Transferred to 4.1.99.22 and 4.6.1.17,Current
4.2.1.163,4.2.1.163,"2-oxo-hept-4-ene-1,7-dioate hydratase",Current
4.2.1.39,4.2.1.39,gluconate dehydratase,Current
4.2.1.52,4.3.3.7,"4-hydroxy-2,3,4,5-tetrahydrodipicolinate synthase.",Transferred in 1972
4.2.2.12,4.2.2.12,xanthan lyase,Current
4.2.2.22,4.2.2.22,pectate trisaccharide-lyase,Current
4.3.1.6,4.3.1.6,beta-alanyl-CoA ammonia-lyase,Current
4.3.99.2,7.2.4.1,carboxybiotin decarboxylase,Transferred in 2008
4.4.1.8,4.4.1.8,Transferred to 4.4.1.13,Current
4.99.1.1,4.99.1.1,Transferred to 4.98.1.1,Current
5.1.1.11,5.1.1.11,phenylalanine racemase (ATP-hydrolysing),Current
5.1.3.12,NA,UDP-glucuronate 5-epimerase. The enzyme has never been purified and the activity was later shown not to exist.,Deleted in 1972
5.1.3.21,5.1.3.21,maltose epimerase,Current
5.1.99.5,5.1.99.5,hydantoin racemase,Current
5.2.1.5,5.2.1.5,linoleate isomerase,Current
5.3.1.7,5.3.1.7,mannose isomerase,Current
5.3.2.2,5.3.2.2,oxaloacetate tautomerase,Current
5.4.1.2,5.4.99.61,precorrin-8X methylmutase,Transferred in 1999
5.4.2.1,5.4.2.1,Transferred to 5.4.2.11 and 5.4.2.12,Current
5.99.1.2,5.6.2.1,DNA topoisomerase,Transferred in 1984
5.99.1.3,5.6.2.2,DNA topoisomerase (ATP-hydrolysing),Transferred in 1984
6.3.2.37,6.3.2.37,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate---D-lysine ligase,Current
6.3.5.8,2.6.1.85,"aminodeoxychorismate synthase. As ATP is not hydrolysed during the reaction, the classification of the enzyme as a ligase was incorrect",Transferred in 2003
7.5.2.1,7.5.2.1,ABC-type maltose transporter,Current
