feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
KK2376	-1.95134513475271	-9.9753369114266	-3.15417381877638	NA	NA	-0.765448663275109	-5.58465249871039	NA	-5.72572115510855	-13.3496140971277
KL1367	-3.37163987215617	-12.2200746725603	-3.60669992206958	-14.7777642431313	-9.93749905146915	-0.304735318093952	-6.82729845027346	-17.3227603365348	-9.87818667662464	-10.7780175475022
KL2367	-3.36935596301708	-11.1917879595509	-3.66367364617455	NA	-13.6855405887961	-0.289656889724461	-7.5462453931483	NA	-13.1647084254946	-11.873576846565
KM1329	-2.15908724233658	NA	-3.91481482391629	NA	NA	-0.496970211227607	-10.3598160700901	NA	-14.8022856966487	-11.2475214519807
KM2329	-2.57122969929727	NA	-4.28807013566628	NA	NA	-0.361726720230274	-9.03697799505195	NA	-13.3862177802324	-11.5993080468825
LK1306	-6.37183357779158	NA	-1.93566732319009	-7.64671613474288	NA	-0.554858908779806	-6.37092583176776	-10.296213785701	-5.16372092433953	-14.777763810323
LK2306	-5.33281335514507	NA	-1.85961497760312	-6.30302151385199	NA	-0.662966130810736	-5.08734930569766	-10.7025104595762	-5.32845327441812	-10.9849556737976
LT1311	-4.36996693329766	NA	-2.08347461716423	NA	NA	-0.529123731365028	-5.47817531079237	NA	-11.788950481069	NA
LT2311	-4.27923850377303	NA	-2.49601099746124	NA	NA	-0.390978429461804	-6.99796968127842	NA	-10.2940375849903	NA
MK1305	-3.27186816235663	-7.84145485123376	-1.81226540735812	-14.3316544287109	NA	-0.798029170593739	-5.75113747439001	NA	-6.20852500075779	-13.3769784192204
MK1353	-3.52890989228424	-9.08498325279554	-1.48522792236865	NA	-5.51499734570849	-0.940036010548549	-6.83187759897959	-9.61393186530135	-10.801514906753	-10.6353426362047
MK2305	-3.72506472541882	-8.83294353917042	-1.71403133832876	-11.814184481045	NA	-0.857066237374434	-8.14824216316295	NA	-4.0232197960587	NA
MK2353	-3.45449523727114	-7.6154570649301	-2.59695163248249	NA	-5.0075311574135	-0.511251053456662	-7.57660326581283	NA	-11.721628177573	-12.6387871086353
ML1319	-4.3537889585292	-9.353762410393	-1.82630126440701	NA	-7.26297190965078	-0.691577666428563	-4.84742900056767	-10.1120283973574	-7.46546689837054	-10.7211410274617
ML1375	-3.52316678367924	-10.2996632607186	-3.20633208191135	-13.4803567361441	NA	-0.319303155015558	-9.31962090615649	NA	-11.2245538995414	-11.453000442397
ML2319	-3.79550666752772	-6.96657798522224	-2.06652344389609	NA	-5.89941950117769	-0.674967797211409	-5.02436335773751	-9.62345711155544	-7.55633903632166	-10.2068841949534
ML2375	-3.38838976977119	-13.2478716822091	-2.09806094166706	-19.5530565132619	NA	-0.595735338631262	-6.82955964758111	NA	-12.7666612098399	-12.4127183078079
MM1317	-2.3160557381797	-7.17874789858813	-2.43340942549996	NA	-7.34904918981893	-0.774716902321838	-7.4237729192386	-10.3385499982843	-6.72424813297949	-11.0751420308118
MM1328	-3.34384817838232	NA	-3.17769503563914	NA	NA	-0.34238541937255	-9.39435016878558	NA	-11.1587591591634	-11.5474323968766
