feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
KH1326	0.188965037793008	0.0181378036275607	0.122513324502665	NA	NA	0.652756030551206	0.00152800030560006	NA	0.0160998032199606	NA
KK1376	0.209386683754673	0.000433500173400069	0.0669522267808907	NA	NA	0.682904973161989	0.0402618161047264	NA	2.98000119200048e-05	3.1000012400005e-05
KL1367	0.0966129323709473	0.000209599853280103	0.0820871425390002	3.55999750800174e-05	0.0010197992861405	0.809590733286487	0.00880599383580431	6.09999573000299e-06	0.00106259925618052	0.000569499601350279
LK1306	0.0120749951700019	NA	0.261400295439882	0.0049900980039608	NA	0.680723627710549	0.0120825951669619	0.000795299681880127	0.0278974888410045	3.55999857600057e-05
MK1353	0.0866347787113098	0.00184139742204361	0.35719209993106	NA	0.0218685693840029	0.521219870292182	0.0087780877106772	0.0012761982133225	0.000560299215581098	0.000628699119821232
ML1319	0.0489078902184219	0.00152839969432006	0.281986643602671	NA	0.00651069869786026	0.619176376164725	0.0347358930528214	0.000903599819280036	0.00565809886838023	0.000592399881520024
ML1375	0.0869803434901717	0.000793400396700198	0.108342254171127	8.75000437500218e-05	NA	0.80145690072845	0.00156500078250039	NA	0.000417900208950104	0.000356700178350089
MM1317	0.200815740571018	0.00690210483147338	0.185127429589201	NA	0.00613360429352301	0.584503309152317	0.00582400407680285	0.000772300540610378	0.00945800662060464	0.000463500324450227
MM1328	0.0984921000000001	NA	0.1105143	NA	NA	0.7887361	0.001486	NA	0.0004374	0.0003341
MR1334	0.110902044360818	0.00024880009952004	0.143355657342263	0.000117300046920019	0.0111171044468418	0.701838980735592	0.0131777052710821	0.00361560144624058	0.0151687060674824	0.000458100183240073
MS1330	0.0331748933650213	NA	0.404674819065036	0.00049479990104002	NA	0.556780288643942	0.00353399929320014	0.000190199961960008	0.000879999824000035	0.000270999945800011
MV1301	0.0632309810307057	NA	0.147695155691453	NA	NA	0.77664306700708	0.00214769935569019	NA	0.00729259781222066	0.00299049910285027
PH1308	0.0587738293869147	0.00051950025975013	0.210196105098052	0.000210500105250053	4.74000237000118e-05	0.707419453709727	0.0126841063420532	NA	0.00999460499730249	0.000154500077250039
PK1324	0.236784242070545	0.0201532120919273	0.0112774067664441	0.000957200574320344	NA	0.656335293801176	0.0113614068168441	0.000602500361500217	0.0623408374045024	0.000187900112740068
RA1309	0.0647903323951661	NA	0.166037583018791	NA	NA	0.765524882762442	0.00167680083840042	NA	0.0016145008072504	0.000355900177950089
RS1345	0.0438073262843958	NA	0.0407920244752147	NA	NA	0.86012881607729	0.0552718331630999	NA	NA	NA
SO1346	0.18518713333158	NA	0.0602419457822487	NA	NA	0.749759825216157	0.00401669638497325	NA	0.000794399285040643	NA
TJ1356	0.139673502228548	0.0112211921451655	0.0568937601743679	NA	0.00879599384280431	0.771133360206648	0.00293319794676144	NA	0.00921689354817452	0.000132099907530065
TK1342	0.0682551795234462	0.000469199859240042	0.127829261651222	4.68999859300042e-05	0.0284830914550726	0.753955073813478	0.0171319948604015	0.000533299840010048	0.00241309927607022	0.00088289973513008
TL1338	0.103463268961019	0.00504939848518045	0.0540440837867748	NA	NA	0.826728651981405	0.00399239880228036	0.000514199845740046	0.00591859822442053	0.000289399913180026
AE2332	0.157345737061705	NA	0.12783564886574	NA	NA	0.705402817838873	0.00931139627544149	NA	NA	0.000104399958240017
AK2371	0.0674174460660431	0.000363299709360233	0.127144298284561	0.000580599535520372	0.0294555764355389	0.680942755245796	0.0560140551887559	9.58999232800614e-05	0.0379860696111443	NA
AM2310	0.148750659500264	0.018754607501843	0.12241704896682	3.22000128800052e-05	0.0043746017498407	0.69070457628183	0.00630110252044101	1.53000061200024e-05	0.00803400321360129	0.000615900246360099
AP2348	0.0965409386163754	8.82000352800141e-05	0.169018467607387	NA	NA	0.727461590984637	0.00475800190320076	NA	0.00213280085312034	NA
AT2302	0.0355902035590204	0.00228030022803003	0.113131311313131	NA	0.0106677010667701	0.828450082845008	0.00709930070993008	0.000850100085010009	0.00192490019249002	6.10000061000007e-06
EH2307	0.0055473983357805	0.000192099942370017	0.570929328721202	NA	0.000485399854380044	0.365748890275333	0.0518728844381347	NA	0.00500499849850045	0.00021899993430002
EP2341	0.0757470772758768	0.0254911923526423	0.139364758190573	0.00168829949351015	NA	0.728569581429125	0.0162340951297715	0.0011151996654401	0.011502796549161	0.000286999913900026
HP2337	0.0393336881998935	NA	0.419796474061058	NA	NA	0.534285439714368	0.00455919863224041	NA	NA	0.00202519939244018
JE2361	0.2434986	3.87e-05	0.1140658	0.000403	0.0318163	0.5597897	0.0394144	0.0021201	0.0088444	9e-06
JH2373	0.0350842859662856	NA	0.398470740611704	0.00112429955028018	0.0139438944224422	0.479527908188837	0.00830039667984133	0.00555439777824089	0.0579940768023693	NA
JL2316	0.0856952428476215	NA	0.122686361343181	0.000276300138150069	NA	0.781276490638245	0.00880130440065221	2.26000113000057e-05	0.000931600465800234	0.000310100155050078
JM2360	0.22434876730463	0.000244100073230022	0.139856141956843	NA	0.021812406543722	0.529625358887608	0.032895309868593	NA	0.0358211107463332	0.0153968046190414
JP2303	0.0426909615781346	0.00490959558136398	0.104142406271834	NA	NA	0.791573687583681	0.00589029469873477	NA	0.0507930542862512	NA
JS2364	0.130759678455807	NA	0.16626379975828	NA	NA	0.663847398308439	0.00100010060006036	NA	0.0381290228774137	NA
JV2357	0.0278823776940979	0.00020259983792013	0.236058211153431	0.00806539354768517	0.00584769532184374	0.70351053719157	0.0107774913780069	0.000454999636000291	2.59999792000166e-06	0.00719809424152461
KH2326	0.235101417550709	0.0136191068095534	0.127465763732882	NA	NA	0.620564410282205	0.00214230107115053	NA	0.00110700055350028	NA
KK2376	0.258575029287515	0.000993400496700249	0.112330856165428	NA	NA	0.588270394135197	0.0208378104189052	NA	0.0188967094483547	9.5800047900024e-05
KL2367	0.0967659999999999	0.0004275	0.0789086	NA	7.59e-05	0.8180966	0.00535	NA	0.0001089	0.0002665
LK2306	0.0248120826315422	NA	0.275549807115135	0.0126648911345762	NA	0.631578457895079	0.0294140794101444	0.000600099579930294	0.0248871825789722	0.000493399654620242
MK2353	0.0912206817558637	0.0050993989801202	0.165287366942527	NA	0.0310872937825412	0.701613759677248	0.00523859895228021	NA	0.000296099940780012	0.000156799968640006
ML2319	0.0720176	0.0079956	0.2387341	NA	0.0167532	0.6263462	0.0307267	0.0012678	0.0053127	0.0008461
ML2375	0.0954977286493185	0.000102800030840009	0.233571970071591	1.30000039000012e-06	NA	0.66170709851213	0.00879220263766078	NA	0.000143500043050013	0.000183400055020016
MM2317	0.0660730405342635	0.0108677902189888	0.238810985070114	NA	0.000840399243640681	0.670262096764113	0.00989849109135802	0.00133909879481109	0.000963199133120781	0.000944899149590766
MM2328	0.105125742050297	NA	0.107366842946737	NA	NA	0.785340014136006	0.00141360056544023	NA	0.000354100141640056	0.000399700159880064
MR2334	0.133820993674696	0.000456800319760224	0.103856972699881	0.000935900655130459	0.0114617080231956	0.738219016753311	0.00577490404243283	0.0014205009943507	0.00355200248640174	0.000501200350840246
MS2330	0.0429107085821417	NA	0.420237184047437	0.00141270028254006	NA	0.528957505791501	0.00553330110666022	NA	0.000146600029320006	0.000802000160400032
MV2301	0.0462099907580018	NA	0.25321714935657	NA	NA	0.691586361682728	0.00470779905844019	NA	NA	0.00427869914426017
PH2308	0.108386356645457	0.00140889943644023	0.0901052639578944	0.000341999863200055	0.018899392440243	0.742965802813679	0.0087280965087614	0.000299099880360048	0.0286653885338446	0.000199699920120032
PK2324	0.118579688142031	0.00633739936626006	0.216408478359152	0.000327499967250003	NA	0.611273638872636	0.00838439916156008	0.00272789972721003	0.0352993964700603	0.000661599933840006
RA2309	0.0369503147801259	NA	0.214776885910754	NA	NA	0.741320896528359	0.00111590044636018	NA	8.30000332000133e-06	0.00582770233108093
RS2345	0.146568029313606	NA	0.0141734028346806	NA	NA	0.824146364829273	0.0150217030043406	NA	NA	9.05000181000037e-05
